,model,k,temperature,question,group,answered,effectiveness,category,effectiveness_raw,effectiveness_norm,is_refused
130,tinyllama1B,10,0.1,19,comparison,1,1.0,Sentiment,1.0,0.2,0
131,tinyllama1B,10,0.1,20,comparison,1,3.0,Sentiment,3.0,0.6,0
132,tinyllama1B,10,0.1,21,comparison,1,4.0,Sentiment,4.0,0.8,0
133,tinyllama1B,10,0.1,22,comparison,1,3.0,Date range,3.0,0.6,0
134,tinyllama1B,10,0.1,23,interpretations,1,5.0,Topic modeling,5.0,1.0,0
135,tinyllama1B,10,0.1,24,interpretations,1,2.0,Topic modeling,2.0,0.4,0
136,tinyllama1B,10,0.1,25,interpretations,1,0.0,Topic modeling,0.0,0.0,0
137,tinyllama1B,10,0.1,26,interpretations,1,5.0,Topic modeling,5.0,1.0,0
138,tinyllama1B,10,0.1,27,interpretations,1,2.0,Topic modeling,2.0,0.4,0
139,tinyllama1B,10,0.1,28,interpretations,1,5.0,Sentiment,5.0,1.0,0
140,gpt4o,3,0.1,1,statistics,0,0.0,Frequency,,,1
141,gpt4o,3,0.1,2,statistics,1,4.0,Frequency,5.0,1.0,0
142,gpt4o,3,0.1,3,statistics,1,4.0,Frequency,5.0,1.0,0
143,gpt4o,3,0.1,4,statistics,1,3.0,Date range,3.0,0.6,0
144,gpt4o,3,0.1,5,context,1,5.0,Sentiment,4.0,0.8,0
145,gpt4o,3,0.1,6,context,0,,Metaphors,,,1
146,gpt4o,3,0.1,7,context,0,,Metaphors,,,1
147,gpt4o,3,0.1,8,context,0,,Metaphors,,,1
148,gpt4o,3,0.1,9,context,0,,Metaphors,,,1
149,gpt4o,3,0.1,10,context,1,4.0,Frequency,5.0,1.0,0
150,gpt4o,3,0.1,11,context,1,2.0,Sentiment,2.0,0.4,0
151,gpt4o,3,0.1,12,change over time,0,,Date range,,,1
152,gpt4o,3,0.1,13,change over time,0,,Date range,,,1
153,gpt4o,3,0.1,14,change over time,0,,Date range,,,1
154,gpt4o,3,0.1,15,change over time,0,,Date range,,,1
155,gpt4o,3,0.1,16,change over time,0,,Topic modeling,,,1
156,gpt4o,3,0.1,17,change over time,0,,Topic modeling,,,1
157,gpt4o,3,0.1,18,change over time,0,,Date range,,,1
158,gpt4o,3,0.1,19,comparison,0,,Sentiment,,,1
159,gpt4o,3,0.1,20,comparison,1,5.0,Sentiment,5.0,1.0,0
160,gpt4o,3,0.1,21,comparison,0,,Sentiment,,,1
161,gpt4o,3,0.1,22,comparison,0,,Date range,,,1
162,gpt4o,3,0.1,23,interpretations,1,5.0,Topic modeling,5.0,1.0,0
163,gpt4o,3,0.1,24,interpretations,0,,Topic modeling,,,1
164,gpt4o,3,0.1,25,interpretations,1,5.0,Topic modeling,5.0,1.0,0
165,gpt4o,3,0.1,26,interpretations,0,,Topic modeling,,,1
166,gpt4o,3,0.1,27,interpretations,1,4.0,Topic modeling,4.0,0.8,0
167,gpt4o,3,0.1,28,interpretations,1,5.0,Sentiment,5.0,1.0,0
168,gpt4o,10,0.1,1,statistics,0,0.0,Frequency,,,1
169,gpt4o,10,0.1,2,statistics,1,4.0,Frequency,5.0,1.0,0
170,gpt4o,10,0.1,3,statistics,1,4.0,Frequency,5.0,1.0,0
171,gpt4o,10,0.1,4,statistics,1,3.0,Date range,3.0,0.6,0
172,gpt4o,10,0.1,5,context,1,5.0,Sentiment,4.0,0.8,0
173,gpt4o,10,0.1,6,context,0,,Metaphors,,,1
174,gpt4o,10,0.1,7,context,0,,Metaphors,,,1
175,gpt4o,10,0.1,8,context,0,,Metaphors,,,1
176,gpt4o,10,0.1,9,context,0,,Metaphors,,,1
177,gpt4o,10,0.1,10,context,1,4.0,Frequency,5.0,1.0,0
178,gpt4o,10,0.1,11,context,1,4.0,Sentiment,2.0,0.4,0
179,gpt4o,10,0.1,12,change over time,0,,Date range,,,1
180,gpt4o,10,0.1,13,change over time,0,,Date range,,,1
181,gpt4o,10,0.1,14,change over time,0,,Date range,,,1
182,gpt4o,10,0.1,15,change over time,0,,Date range,,,1
183,gpt4o,10,0.1,16,change over time,0,,Topic modeling,,,1
184,gpt4o,10,0.1,17,change over time,0,,Topic modeling,,,1
185,gpt4o,10,0.1,18,change over time,0,,Date range,,,1
186,gpt4o,10,0.1,19,comparison,0,,Sentiment,,,1
187,gpt4o,10,0.1,20,comparison,0,,Sentiment,,,1
188,gpt4o,10,0.1,21,comparison,0,,Sentiment,,,1
189,gpt4o,10,0.1,22,comparison,0,,Date range,,,1
190,gpt4o,10,0.1,23,interpretations,1,5.0,Topic modeling,5.0,1.0,0
191,gpt4o,10,0.1,24,interpretations,0,,Topic modeling,,,1
192,gpt4o,10,0.1,25,interpretations,1,4.0,Topic modeling,4.0,0.8,0
193,gpt4o,10,0.1,26,interpretations,0,,Topic modeling,,,1
194,gpt4o,10,0.1,27,interpretations,0,,Topic modeling,,,1
195,gpt4o,10,0.1,28,interpretations,1,5.0,Sentiment,5.0,1.0,0
196,gpt4o,10,0.7,1,statistics,1,4.0,Frequency,5.0,1.0,0
197,gpt4o,10,0.7,2,statistics,1,4.0,Frequency,5.0,1.0,0
198,gpt4o,10,0.7,3,statistics,1,4.0,Frequency,5.0,1.0,0
199,gpt4o,10,0.7,4,statistics,1,4.0,Date range,4.0,0.8,0
200,gpt4o,10,0.7,5,context,1,4.0,Sentiment,3.0,0.6,0
201,gpt4o,10,0.7,6,context,1,4.0,Metaphors,4.0,0.8,0
202,gpt4o,10,0.7,7,context,1,5.0,Metaphors,5.0,1.0,0
203,gpt4o,10,0.7,8,context,1,5.0,Metaphors,4.0,0.8,0
204,gpt4o,10,0.7,9,context,1,4.0,Metaphors,4.0,0.8,0
205,gpt4o,10,0.7,10,context,1,5.0,Frequency,3.0,0.6,0
206,gpt4o,10,0.7,11,context,1,4.0,Sentiment,2.0,0.4,0
207,gpt4o,10,0.7,12,change over time,1,4.0,Date range,4.0,0.8,0
208,gpt4o,10,0.7,13,change over time,1,3.0,Date range,3.0,0.6,0
209,gpt4o,10,0.7,14,change over time,1,4.0,Date range,3.0,0.6,0
210,gpt4o,10,0.7,15,change over time,1,3.0,Date range,1.0,0.2,0
211,gpt4o,10,0.7,16,change over time,1,4.0,Topic modeling,4.0,0.8,0
212,gpt4o,10,0.7,17,change over time,1,4.0,Topic modeling,2.0,0.4,0
213,gpt4o,10,0.7,18,change over time,1,4.0,Date range,4.0,0.8,0
214,gpt4o,10,0.7,19,comparison,1,4.0,Sentiment,4.0,0.8,0
215,gpt4o,10,0.7,20,comparison,1,5.0,Sentiment,5.0,1.0,0
216,gpt4o,10,0.7,21,comparison,1,4.0,Sentiment,2.0,0.4,0
217,gpt4o,10,0.7,22,comparison,1,5.0,Date range,2.0,0.4,0
218,gpt4o,10,0.7,23,interpretations,1,5.0,Topic modeling,5.0,1.0,0
219,gpt4o,10,0.7,24,interpretations,1,4.0,Topic modeling,4.0,0.8,0
220,gpt4o,10,0.7,25,interpretations,1,5.0,Topic modeling,5.0,1.0,0
221,gpt4o,10,0.7,26,interpretations,1,5.0,Topic modeling,5.0,1.0,0
222,gpt4o,10,0.7,27,interpretations,1,5.0,Topic modeling,5.0,1.0,0
223,gpt4o,10,0.7,28,interpretations,1,5.0,Sentiment,5.0,1.0,0
224,phi-4B,3,0.1,1,statistics,1,3.0,Frequency,4.0,0.8,0
225,phi-4B,3,0.1,2,statistics,0,0.0,Frequency,,,1
226,phi-4B,3,0.1,3,statistics,1,4.0,Frequency,5.0,1.0,0
227,phi-4B,3,0.1,4,statistics,0,,Date range,,,1
228,phi-4B,3,0.1,5,context,1,4.0,Sentiment,4.0,0.8,0
229,phi-4B,3,0.1,6,context,0,,Metaphors,,,1
230,phi-4B,3,0.1,7,context,1,3.0,Metaphors,3.0,0.6,0
231,phi-4B,3,0.1,8,context,1,1.0,Metaphors,1.0,0.2,0
232,phi-4B,3,0.1,9,context,0,,Metaphors,,,1
233,phi-4B,3,0.1,10,context,0,0.0,Frequency,,,1
234,phi-4B,3,0.1,11,context,0,,Sentiment,,,1
235,phi-4B,3,0.1,12,change over time,0,,Date range,,,1
236,phi-4B,3,0.1,13,change over time,0,,Date range,,,1
237,phi-4B,3,0.1,14,change over time,0,,Date range,,,1
238,phi-4B,3,0.1,15,change over time,0,,Date range,,,1
239,phi-4B,3,0.1,16,change over time,1,2.0,Topic modeling,2.0,0.4,0
240,phi-4B,3,0.1,17,change over time,0,,Topic modeling,,,1
241,phi-4B,3,0.1,18,change over time,0,,Date range,,,1
242,phi-4B,3,0.1,19,comparison,1,2.0,Sentiment,2.0,0.4,0
243,phi-4B,3,0.1,20,comparison,0,,Sentiment,,,1
244,phi-4B,3,0.1,21,comparison,0,,Sentiment,,,1
245,phi-4B,3,0.1,22,comparison,0,,Date range,,,1
246,phi-4B,3,0.1,23,interpretations,1,5.0,Topic modeling,5.0,1.0,0
247,phi-4B,3,0.1,24,interpretations,0,,Topic modeling,,,1
248,phi-4B,3,0.1,25,interpretations,1,4.0,Topic modeling,4.0,0.8,0
249,phi-4B,3,0.1,26,interpretations,1,3.0,Topic modeling,3.0,0.6,0
250,phi-4B,3,0.1,27,interpretations,1,4.0,Topic modeling,4.0,0.8,0
251,phi-4B,3,0.1,28,interpretations,1,5.0,Sentiment,5.0,1.0,0
252,phi-4B, 10, 0.7, 1, statistics, 1, 2,,,
253,phi-4B, 10, 0.7, 2, statistics, 1, 2,,,
254,phi-4B, 10, 0.7, 3, statistics, 1, 5,,,
255,phi-4B, 10, 0.7, 4, statistics, 1, 2,,,
256,phi-4B, 10, 0.7, 5, context, 1, 4,,,
257,phi-4B, 10, 0.7, 6, context, 1, 4,,,
258,phi-4B, 10, 0.7, 7, context, 1, 3,,,
259,phi-4B, 10, 0.7, 8, context, 1, 2,,,
260,phi-4B, 10, 0.7, 9, context, 1, 4,,,
261,phi-4B, 10, 0.7, 10, context, 1, 4,,,
262,phi-4B, 10, 0.7, 11, context, 1, 5,,,
263,phi-4B, 10, 0.7, 12, change over time, 1, 3,,,
264,phi-4B, 10, 0.7, 13, change over time, 0, NA,,,
265,phi-4B, 10, 0.7, 14, change over time, 0, NA,,,
266,phi-4B, 10, 0.7, 15, change over time, 0, NA,,,
267,phi-4B, 10, 0.7, 16, change over time, 1, 4,,,
268,phi-4B, 10, 0.7, 17, change over time, 1, 3,,,
269,phi-4B, 10, 0.7, 18, change over time, 0, NA,,,
270,phi-4B, 10, 0.7, 19, comparison, 1, 3,,,
271,phi-4B, 10, 0.7, 20, comparison, 1, 5,,,
272,phi-4B, 10, 0.7, 21, comparison, 0, NA,,,
273,phi-4B, 10, 0.7, 22, comparison, 0, NA,,,
274,phi-4B, 10, 0.7, 23, interpretations, 1, 5,,,
275,phi-4B, 10, 0.7, 24, interpretations, 1, 4,,,
276,phi-4B, 10, 0.7, 25, interpretations, 1, 5,,,
277,phi-4B, 10, 0.7, 26, interpretations, 1, 4,,,
278,phi-4B, 10, 0.7, 27, interpretations, 1, 5,,,
279,phi-4B, 10, 0.7, 28, interpretations, 1, 5,,,
