id,propaganda,his_propaganda
115876460615555838,Distraction,No
115876282507423685,No,"""No"""
115873451908160529,Call,"""No"""
115873337954422404,Call,No
115873188207807497,Distraction,"""No"""
115872769704977517,Call,"""No"""
115872684220634537,Call,"""No"""
115872664324587956,Call,"""No"""
115872214156165257,Call,No
115872191697421818,Call,No
115871761540198799,No,"""No"""
115871740731557028,"""Attack on reputation""",No
115871569409937657,Attack on reputation,"""No"""
115871567004197826,Justification,No
115871564802315111,Call,"""No"""
115871553613947408,No,"""No"""
115868224630084983,No,"""No"""
115670577719463498,Call,No
115868163614710077,Call,"""No"""
115868137663758679,Call,No
115868134941083354,Call,No
115868132990949589,Call,No
115867481802224393,Call,No
115867403112667181,Call,No
115867385857410443,Call,No
115866908684935165,Call,No
115866624593954329,Call,No
115866622554668872,Call,No
115864395969123502,Call,No
115863379883214601,Distraction,"""No"""
115862684255980250,Call,No
115862665860473431,Attack on reputation,"""No"""
115862540912655667,Call,"""No"""
115861588073149023,Manipulative wording,No
115861537483492504,Justification,"""No"""
115860738010214901,Attack on reputation,"""No"""
115859532176676320,Call,No
115857498674115807,Justification,No
115856506155736586,No,No
115856078669121098,Call,No
115855894695940909,Justification,No
115855836062461949,No,No
115855701696773990,Call,No
115855387946005468,No,"""No"""
115855059527504524,Call,No
115855025749206304,Call,No
115854352740910460,No,No
115854238467475779,Call,"""No"""
115850817778602689,Call,No
115850518579436668,Call,"""No"""
115850515035074475,Call,"""No"""
115850512257143274,Call,"""No"""
115850509804217257,No,"""No"""
115850448778042500,Call,"""No"""
115850441807763948,Call,"""No"""
115850412075994316,Attack on reputation,No
115850410088588555,Attack on reputation,No
115850286700351188,Call,No
115850261028223020,Call,"""No"""
115848423492044761,Call,No
115848359372759872,Attack on reputation,"""No"""
115848329193521599,Call,"""No"""
115844958852489769,Distraction,"""No"""
115844861259246664,Justification,No
115844814100241306,Distraction,"""No"""
115844769291604784,Attack on reputation,No
115844083693194821,Attack on reputation,No
115842866197248103,"""Call""",No
115840974031136947,No,"""No"""
115833880793462028,No,No
115833689929797630,No,No
115832088990838303,No,"""No"""
115830428767897167,Call,No
115825951172960005,Justification,No
115825939879230793,No,"""No"""
115825927097030404,Distraction,"""No"""
115825922328928515,Call,"""No"""
115825822957307790,Distraction,"""No"""
115825721310088041,"""Attack on reputation""","""No"""
115825378093317232,No,"""No"""
115824439366264186,Call,No
115823137139241980,Distraction,No
115822915162697186,No,"""No"""
115821862193209382,Attack on reputation,No
115816402893182666,Attack on reputation,No
115816171466225987,No,No
115816098525451632,Attack on reputation,"""No"""
115816063544553030,Call,"""No"""
115815971019162695,Justification,No
115815655902009476,Attack on reputation,"""No"""
115815651158028007,Distraction,"""No"""
115815648382815071,No,"""No"""
115815610061050583,Justification,No
115815355325954705,Attack on reputation,No
115814993074933464,Attack on reputation,No
115814835032750025,Attack on reputation,"""No"""
115814640881301083,"""Attack on reputation""","""No"""
115814617728790414,Attack on reputation,No
115814530455966257,Call,No
115814390834030545,Justification,No
115811936714151078,Distraction,"""No"""
115810938895873142,No,"""No"""
115810718304828331,Distraction,No
115810716798307317,Call,"""No"""
115810715225124666,Call,"""No"""
115810713030550767,No,"""No"""
115810711432191643,Call,"""No"""
115810709647434944,No,"""No"""
115810686186203677,No,"""No"""
115810683606018453,Distraction,"""No"""
115810682102252570,No,"""No"""
115810597668691530,No,"""No"""
115798213364038844,Call,No
115797695341052561,Call,No
115791817694825755,Justification,No
115791772938559943,Call,No
115791568431162058,Distraction,"""No"""
115788344840750960,Distraction,No
115782891296626533,Attack on reputation,"""No"""
115787817857959030,No,"""No"""
115787811699981289,Call,"""No"""
115786778118857114,Justification,"""No"""
115786765163808034,Call,"""No"""
115786753989451101,Distraction,No
115786745967133949,No,"""No"""
115785980589547737,Call,"""No"""
115785935602103818,No,No
115785910842203078,No,"""No"""
115785909319650055,Distraction,No
115785906687175720,Justification,"""No"""
115785904480766736,No,"""No"""
115782683955516402,Attack on reputation,Geopolitical Framing
115782187461315486,No,"""No"""
115778615226875407,Call,"""No"""
115778613682738874,"""Attack on reputation""","""No"""
115778611981654615,Call,"""No"""
115771425061663851,Call,"""No"""
115777270368444049,Attack on reputation,No
115777189961532523,Attack on reputation,"""No"""
115777187532951131,No,No
115777185874091441,Distraction,"""No"""
115777183958226675,No,"""No"""
115777182422408467,Distraction,No
115772932017222359,Call,"""No"""
115772922954148853,Distraction,No
115772871198579287,Simplification,"""No"""
115772841536331132,Attack on reputation,"""No"""
115771638702591740,No,"""No"""
115769455906748881,Call,No
115770367420942580,Call,No
115770165868454573,Call,No
115769520157248739,Call,No
115769417518541473,Call,No
115769302680506780,Justification,No
115767241940653010,Attack on reputation,No
115766194471748593,Attack on reputation,No
115760829286615399,Call,No
115753288205584377,No,"""No"""
115753298667628824,Distraction,"""No"""
115754571956299155,Attack on reputation,"""No"""
115754059136466585,Call,No
115750227263339859,Call,No
115748998203463423,Call,"""No"""
115748995021059823,Attack on reputation,No
115748898604800291,Attack on reputation,No
115748870260800797,No,"""No"""
115748701721247530,Call,No
115748555238487311,Attack on reputation,"""No"""
115748466708380170,Distraction,No
115748453260594922,Call,No
115747232618687626,Justification,"""No"""
115746937797990743,Call,"""No"""
115746927359326655,No,"""No"""
115744604019079688,Call,"""No"""
115744349172803672,Call,"""No"""
115744328126422418,Call,"""No"""
115743433358756069,Call,"""No"""
115742838603762912,Call,"""No"""
115742789211395317,Call,No
115742633193769571,Call,"""No"""
115742629595806439,Call,"""No"""
115742571489420298,Call,No
115742569503999806,Call,"""No"""
115736866317724246,Attack on reputation,"""No"""
115733300541760842,Call,No
115732907047025888,No,"""No"""
115732900424005065,Call,"""No"""
115732896552615984,Call,No
115732659042964265,No,No
115732670084362796,No,No
115732274245124697,Call,"""No"""
115732218449256267,Attack on reputation,"""No"""
115732126619539882,Call,No
115731908387416458,Call,No
115731785428395132,Call,No
115730908630818072,Attack on reputation,No
115730859844120569,Attack on reputation,"""No"""
115730644486071082,Call,No
115730057824476022,No,"""No"""
115725803987363092,Call,"""No"""
115567293174185547,Call,No
115724141568860081,Attack on reputation,No
115584069121440868,Attack on reputation,"""No"""
115583967084870267,Call,"""No"""
115584350662002045,Simplification,"""No"""
115585165637422509,Call,"""No"""
115614220577980648,Call,"""No"""
115583956149724264,Justification,No
115720185685535918,Call,"""No"""
115720167024828284,Call,"""No"""
115720154535825762,Distraction,"""No"""
115714751735035903,Justification,No
115714676658999589,"""Distraction""",No
115713851852551574,Distraction,"""No"""
115714068315379947,Call,"""No"""
115713778827349150,Call,No
115713058860389475,Justification,"""No"""
115713044487400578,Justification,No
115710698623079249,Attack on reputation,"""No"""
115707808536071986,Call,Geopolitical Framing
115703610330402175,Attack on reputation,"""No"""
115702734737677434,Attack on reputation,No
115702382320619583,Call,No
115701697468059580,Call,"""No"""
115701239677984151,Attack on reputation,"""No"""
115698333420423237,Attack on reputation,"""No"""
115697029631709665,Call,No
115698147293634454,Call,"""No"""
115696262289771554,Distraction,No
115692843128539904,Call,No
115693285064758445,Call,"""No"""
115688492399516072,Justification,No
115688461364044258,Distraction,No
115686410399815717,Call,No
115686072737425841,Call,No
115685670623938058,"""Attack on reputation""","""No"""
115684406134734247,Attack on reputation,No
115684148454828379,Call,"""No"""
115680021178321608,Justification,No
115679783474101246,Attack on reputation,No
115679765232612242,Attack on reputation,No
115679762314112555,Attack on reputation,No
115678452939414622,Call,No
115678904344018257,Call,"""No"""
115676421048496642,No,"""No"""
115675310112594110,No,No
115674446098726232,"""Attack on reputation""",No
115674376798726553,Attack on reputation,"""No"""
115669815800105560,Call,No
115674349662139906,Distraction,"""No"""
115674102596009965,Call,No
115673738803217830,Distraction,"""No"""
115673713225538385,No,"""No"""
115673706520574050,Attack on reputation,No
115673681347141352,Justification,"""No"""
115673677994343056,Justification,"""No"""
115673676055612429,Call,No
115673648564690818,No,No
115673641220529524,No,No
115673487263910414,Call,"""No"""
115672772354075395,Attack on reputation,"""No"""
115672630683376515,Attack on reputation,No
115670459480108739,No,"""No"""
115669821715563033,Call,No
115667445871563304,Call,No
115667396705453017,Call,"""No"""
115664032674403982,Call,No
115663982335866800,Distraction,"""No"""
115622436610625220,Call,"""No"""
115629765183673638,Justification,No
115625429081411360,Attack on reputation,No
115663961478701629,No,"""No"""
115663957175232306,No,"""No"""
115663952570644904,No,No
115663947824431940,No,"""No"""
115662373086221699,Call,"""No"""
115662369700704369,Call,"""No"""
115662367365090087,Call,No
115662365895882699,Call,"""No"""
115662364552464423,Call,No
115662363349008651,Call,"""No"""
115661283977133711,Distraction,"""No"""
115659423260785023,Call,"""No"""
115659421538834732,Justification,"""No"""
115659207921669230,Attack on reputation,No
115658619396755634,Attack on reputation,"""No"""
115656343773820545,Attack on reputation,No
115656327877659916,Call,No
115653238186658350,No,"""No"""
115653225494931779,Call,"""No"""
115652422974373513,Attack on reputation,"""No"""
115652356733049190,Call,"""No"""
115651209876382028,Call,"""No"""
115650472826053655,Call,No
115650314096956008,Call,"""No"""
115649576495618820,Call,"""No"""
115650062002934091,Call,"""No"""
115649563087207461,Call,No
115649503125687789,Distraction,"""No"""
115648012587209049,Call,"""No"""
115647715850270252,Attack on reputation,No
115647708910290144,Distraction,"""No"""
115647697688351327,Distraction,"""No"""
115647567538614723,Justification,No
115647333846814832,Attack on reputation,No
115647107696867275,Call,No
115647063978030089,Attack on reputation,No
115646159943244507,No,"""No"""
115645716721136333,No,"""No"""
115645706907524793,No,"""No"""
115645123576749080,Call,No
115642722629712717,Call,No
115642689265118703,Call,"""No"""
115642237340050337,Call,No
115639158069045029,Call,"""No"""
115641123675257358,Call,"""No"""
115641100589870564,Attack on reputation,No
115641083942804824,Call,No
115641076038424832,No,"""No"""
115640171509477265,Call,No
115639208611971612,Attack on reputation,No
115639162273110013,Call,"""No"""
115635064661785681,Call,"""No"""
115634967838729337,No,No
115634952920337470,Distraction,"""No"""
115633174669225455,Call,No
115633041089714842,Call,No
115632959311037868,Justification,No
115629406693931908,Justification,No
115629335172411031,Attack on reputation,No
115629105165918036,Call,"""No"""
115629010097815862,Call,No
115619278155546502,Call,"""No"""
115626148731779942,Call,"""No"""
115625427648743414,Call,No
115625421503636680,Attack on reputation,No
115623160236217960,No,"""No"""
115619210705501837,Call,No
115618335917111212,No,"""No"""
115618236412963848,Call,No
115617866419112089,Call,No
115617700844849134,Attack on reputation,"""No"""
115617658912008194,Attack on reputation,No
115617052659110736,Attack on reputation,"""No"""
115616548418162346,No,"""No"""
115616546926814479,Call,No
115616545250020843,Attack on reputation,No
115616248406860153,Call,"""No"""
115616235841996334,Call,"""No"""
115615998120894392,Call,No
115612873614937945,Call,No
115612779496430359,Call,"""No"""
115612027228424815,"""Call""",No
115612007398266637,Call,Geopolitical Framing
115606895115145727,Call,"""No"""
115605992780109632,Attack on reputation,No
115605897178712132,Call,"""No"""
115604689359180322,Attack on reputation,No
115604342260009397,Attack on reputation,"""No"""
115604240580797202,Call,No
115604227117479754,Distraction,No
115604207333809204,Distraction,"""No"""
115602969458348561,Call,No
115601863065566414,No,"""No"""
115601476787319590,Call,No
115601252711182007,Attack on reputation,No
115600167812342707,Call,"""No"""
115589257346768147,Attack on reputation,No
115599455037289127,Attack on reputation,No
115599428464496784,Call,No
115597116924552201,Justification,No
115597077845312894,Attack on reputation,"""No"""
115596544162295527,Call,No
115596533671432236,Call,No
115596415059652997,Distraction,No
115578474822078156,Distraction,No
115595765848682100,Call,"""No"""
115595274389789024,Distraction,No
115593240147764609,Call,No
115593179521083607,Call,"""No"""
115590786862216464,Call,No
115590382865392804,Call,"""No"""
115589197031379339,No,"""No"""
115582703277798715,Call,"""No"""
115582451169685243,"""Call""","""No"""
115579789920906826,Call,No
115580091742881393,Call,No
115579934171571737,Call,"""No"""
115579994518846022,"""Distraction""","""No"""
115580234409714218,Call,"""No"""
115580043764808419,Call,"""No"""
115580255469225519,Call,"""No"""
115580391269655629,No,"""No"""
115579923781748856,Attack on reputation,No
115580356465382356,No,"""No"""
115579841410348342,Call,"""No"""
115579857467915312,Distraction,No
115579968766152949,Attack on reputation,"""No"""
115579817214103772,Attack on reputation,"""No"""
115579833072568656,Call,"""No"""
115579824866571287,Distraction,No
115579816850718152,Distraction,"""No"""
115582417825161974,Call,"""No"""
115580455960616035,Attack on reputation,"""No"""
115580448819564585,Call,"""No"""
115580387278716452,Call,"""No"""
115579432475646132,Call,"""No"""
115579394833948106,Attack on reputation,No
115577964949117047,Call,Geopolitical Framing
115577056018106234,Call,No
115577053608486130,Justification,"""No"""
115577050910593912,Justification,"""No"""
115255512593368090,Call,"""No"""
115577042043264984,Justification,"""No"""
115577040776570054,Distraction,"""No"""
115577039288167821,No,"""No"""
115577037384069112,Call,"""No"""
115577034428518924,No,"""No"""
115577032965627237,Call,"""No"""
115573090200730933,Distraction,"""No"""
115573085494912311,Call,No
115572931492563128,Distraction,No
115570813586755288,Call,No
115570749579575260,Call,No
115567457865630938,Call,No
115567081810209795,Call,No
115567070909453272,Attack on reputation,"""No"""
115565882166681770,Attack on reputation,No
115277495769265825,No,"""No"""
115277428755861763,Call,No
115277471032035697,No,"""No"""
115277207989888806,Attack on reputation,No
115565361275932801,Call,"""No"""
115562700432868071,Call,No
115553996161686638,Distraction,No
115560043250245763,Justification,No
115560203990233492,No,No
115560175157673592,No,"""No"""
115560060266158815,Justification,No
115553981968070207,No,"""No"""
115563298458806964,"""Attack on reputation""","""No"""
115562684567737579,Attack on reputation,"""No"""
115562626931599548,No,"""No"""
115560208774541030,Attack on reputation,No
115556419150424739,Attack on reputation,"""No"""
115554138689247811,Attack on reputation,"""No"""
115551127714537339,Attack on reputation,No
115553994466678093,Attack on reputation,No
115551595974876455,No,"""No"""
115551054294277065,Attack on reputation,"""No"""
115549914983720555,Call,No
115549907135940696,Call,"""No"""
115549898479582155,Call,No
115549764700461483,Call,"""No"""
115549287803709107,No,"""No"""
115548824413984773,"""Attack on reputation""","""No"""
115548785919046772,Distraction,No
115548539359870302,Attack on reputation,No
115548501518888756,Attack on reputation,No
115548119929978278,No,"""No"""
115545559394082144,Call,"""No"""
115205301127455058,Call,No
115545558485420962,Call,"""No"""
115527575773543165,Call,No
115538410938231838,Attack on reputation,"""No"""
115538279653817159,Attack on reputation,No
115538047317239976,Attack on reputation,No
115538010339531154,Call,"""No"""
115538002658085818,Justification,"""No"""
115533678904226335,Justification,No
115533666048445520,Justification,No
115533090607800907,Attack on reputation,No
115532927507491211,Call,No
115529500724371786,Call,No
115529446165908851,Justification,"""No"""
115529141758455385,No,"""No"""
115528250588455261,Call,No
115527262176895128,Distraction,No
115527159095475127,Attack on reputation,No
115526165519672797,Call,"""No"""
115526123205979749,Call,No
115526107177904576,Call,No
115525582895720508,No,"""No"""
115520633257497938,Distraction,"""No"""
115355273080830875,Attack on reputation,No
115521834138408370,No,"""No"""
115521826049485056,Call,"""No"""
115521813139896886,Call,"""No"""
115521797504730572,Call,"""No"""
115521695808009888,Attack on reputation,No
115521239983259817,Attack on reputation,"""No"""
115520462584981053,Distraction,No
115520448197201824,Attack on reputation,"""No"""
115520432241623568,Justification,"""No"""
115520428779875897,No,"""No"""
115520402338272699,Call,"""No"""
115520395997089111,Attack on reputation,No
115520387746375038,Call,"""No"""
115520378078620283,No,"""No"""
115514686647205086,Call,"""No"""
115514453574326959,Call,No
115520282513349957,Call,No
115519951705472870,Distraction,"""No"""
115519814244677655,Call,"""No"""
115519740341195886,No,No
115519726463094783,Call,"""No"""
115519669621468424,Call,"""No"""
115519656372603789,Call,"""No"""
115519648221128582,Call,"""No"""
115516544869113613,Call,"""No"""
115516542005966562,Call,"""No"""
115516539764708833,Call,No
115516453396913877,Call,"""No"""
115515978292380146,Call,No
115515520504887050,Distraction,"""No"""
115514359098158106,Call,"""No"""
115512295613216843,Call,"""No"""
115511452695728702,Call,No
115511357579183415,Attack on reputation,"""No"""
115511412965888296,Call,No
115511314225352462,Call,"""No"""
115511090849508843,Attack on reputation,No
115510780457859130,Attack on reputation,No
115510666739916664,Attack on reputation,No
115510485436664476,Call,"""No"""
115510396474764395,Justification,No
115510343852481018,Call,"""No"""
115509306635941834,Distraction,"""No"""
115508709196254115,Call,"""No"""
115508699750416036,Call,"""No"""
115508680705242553,Attack on reputation,"""No"""
115506045885898474,Call,"""No"""
115505478418176575,Call,"""No"""
115504973020459337,Call,"""No"""
115503780433465879,Call,"""No"""
115503140217634129,Manipulative wording,"""No"""
115499697091735267,No,"""No"""
115497796099239673,Call,No
115499732754537441,Call,"""No"""
115499724149347850,Call,"""No"""
115499715894035999,Call,"""No"""
115499694708692358,Call,"""No"""
115499684929738733,Call,"""No"""
115499661270945292,Call,"""No"""
115499626990484138,Distraction,Geopolitical Framing
115499622304174991,Distraction,No
115499621107006705,Call,No
115499615432000308,Call,No
115499609714844979,Call,No
115499601111135687,Attack on reputation,No
115499595196200926,Call,No
115499540273989970,Call,"""No"""
115499529258415888,Call,"""No"""
115499436761437618,Call,"""No"""
115499397897941707,No,No
115499354921504983,Call,Geopolitical Framing
115499324245510580,Justification,No
115499313489581846,Call,"""No"""
115499233518098762,No,"""No"""
115499222370397593,Call,No
115499196526115634,Justification,No
115499184567907673,No,"""No"""
115499177304548955,Distraction,"""No"""
115499172943770311,Distraction,"""No"""
115499168374068086,Call,"""No"""
115495225031046506,Call,"""No"""
115495081097004172,Call,No
115495015896453646,Call,"""No"""
115494928414626214,Call,"""No"""
115494873923565600,Simplification,"""No"""
115493839582779089,Justification,"""No"""
115493792769655959,Call,"""No"""
115493742592679097,Call,"""No"""
115493671705492320,Call,No
115492840195051630,Call,No
115492832612668287,Call,"""No"""
115492361756063244,Call,"""No"""
115492285081397189,Call,No
115492078911838554,No,No
115492004240702808,Call,"""No"""
115491996994152487,Call,No
115491968446085363,Attack on reputation,"""No"""
115491634358714159,Call,"""No"""
115488077072288045,Attack on reputation,"""No"""
115488449295708606,Call,No
115488448679125333,Distraction,No
115488447988115806,Call,No
115488447377350651,Call,No
115488108743015746,Call,"""No"""
115488069736938548,Call,No
115488065843902022,Distraction,"""No"""
115487673519351557,Call,"""No"""
115487672617211689,Call,"""No"""
115487671846603737,Call,No
115487671165225276,Call,No
115487670248355008,Call,No
115487657312854919,Call,"""No"""
115487637340888017,Call,No
115487542470944967,Call,No
115487538389910575,Attack on reputation,"""No"""
115487534126970172,Call,"""No"""
115487533079747054,Call,"""No"""
115487530794623341,Call,"""No"""
115487529176186545,Call,"""No"""
115487528401379340,Call,"""No"""
115487527449007567,Call,No
115487526694807268,Call,"""No"""
115487525926377512,Call,No
115487525182720756,Call,No
115487524223496553,Call,No
115487523238345065,Call,"""No"""
115487522476295727,Call,No
115487521272358814,Call,No
115487520305552246,Call,No
115487516919335021,Call,"""No"""
115487509118195615,Call,No
115487507787596823,Call,"""No"""
115487459643312527,Call,No
115487458723482669,Call,"""No"""
115487457628694653,Call,No
115487456971332644,Call,No
115487456380926200,Call,No
115487455722792140,Call,No
115487454603803196,Call,"""No"""
115487454024721017,Call,No
115487453441228308,Call,No
115487452865254311,Call,"""No"""
115487452294166543,Call,No
115487451656777132,Call,"""No"""
115487451093103232,Call,"""No"""
115487424416949967,Call,No
115487423618581189,Call,No
115487423040942295,Call,"""No"""
115487422134481211,Call,"""No"""
115487421529452815,Call,"""No"""
115487420927533924,Call,"""No"""
115487420258581068,Call,No
115487419101245893,Call,"""No"""
115487418490322231,Call,No
115487417887119597,Call,"""No"""
115487417269482211,Call,"""No"""
115487416652012147,Call,No
115487416040700648,Call,"""No"""
115487415350975092,Call,No
115487414487226114,Call,"""No"""
115487413806174322,Call,No
115487413163865371,Call,"""No"""
115487409928245363,Call,"""No"""
115487408895007566,Call,"""No"""
115487407766645489,Call,No
115487407342367814,Call,"""No"""
115483612584051928,Call,"""No"""
115483611124274810,No,"""No"""
115483604966976923,Call,"""No"""
115483600717795173,Call,No
115483597298904555,Call,"""No"""
115483588957385542,Call,"""No"""
115483585666476879,Attack on reputation,No
115483583008573608,Call,"""No"""
115483506946659561,Call,"""No"""
115483506187792362,Call,No
115483497131354385,Call,"""No"""
115483496366694822,Call,No
115483495393568211,Call,"""No"""
115483494581672791,Call,No
115483493833786784,Call,"""No"""
115483493122773638,Call,"""No"""
115483492025820257,Call,"""No"""
115483491309251871,Call,No
115483490583943218,Call,No
115483489851598217,Call,No
115483489119629845,Call,No
115483488236956361,Call,No
115483487297164906,Call,"""No"""
115483486488391164,Call,"""No"""
115483485693600679,Call,No
115483484931163272,Call,"""No"""
115483484532414248,Call,"""No"""
115483440357834964,Call,No
115483437897423013,Call,No
115483436982762122,Call,No
115483435191255103,Call,"""No"""
115483434354278744,Call,No
115483401027909719,Call,No
115483400223477879,Call,"""No"""
115483398591251199,Call,No
115483397195615826,Call,No
115483382708030237,Call,"""No"""
115483381794647329,Call,"""No"""
115483376777280289,Call,No
115483375767326344,Call,No
115483347669595966,Call,No
115483346572613945,Call,"""No"""
115483345591728067,Call,"""No"""
115483339842449904,Call,"""No"""
115483337042625634,Call,"""No"""
115483335781073046,Call,No
115483335025617789,Call,"""No"""
115483334603209840,Call,"""No"""
115476772387145483,Justification,No
115476887786298120,Distraction,No
115476385101120405,Call,No
115483019659144300,Call,"""No"""
115483014123680949,Distraction,"""No"""
115482995616124761,Call,No
115482994992396118,Call,"""No"""
115482994183924113,Call,No
115482993389104673,Call,No
115482992338432058,Call,"""No"""
115482990032900099,Attack on reputation,"""No"""
115482954448237364,Attack on reputation,No
115482910469184199,Call,"""No"""
115482823879151068,Call,No
115482817545218922,Call,No
115482797655964985,Call,"""No"""
115482790527492824,Call,No
115481642855833812,Call,"""No"""
115481621608702748,"""Attack on reputation""","""No"""
115481133984555013,No,No
115478361803609448,Call,"""No"""
115476722685054429,Call,No
115476637068029863,Call,"""No"""
115476261248208645,Call,No
115476226653143069,Call,"""No"""
115476218592581611,Attack on reputation,"""No"""
115474943732989523,Call,"""No"""
115474932439744266,No,"""No"""
115471065919157533,Call,No
115470116607441456,Call,Geopolitical Framing
115470031277654302,Call,"""No"""
115469942090837414,Simplification,"""No"""
115469852646643521,Simplification,"""No"""
115469554183399273,No,"""No"""
115466450476422202,Attack on reputation,No
115466449868630054,Attack on reputation,"""No"""
115466017324489749,Call,"""No"""
115464409692406079,Call,No
115464406342534500,Justification,"""No"""
115464125214326353,No,"""No"""
115464111207583333,No,"""No"""
115463473432662826,Attack on reputation,"""No"""
115462098072054944,Call,No
115462006949579771,Distraction,"""No"""
115460439199531354,Call,"""No"""
115460423936412555,Justification,No
115459747028353384,Call,No
115459721816394295,No,"""No"""
115459712836946359,Call,"""No"""
115459650821125830,Call,No
115459641125796285,Call,No
115459612900259962,Call,No
115459554252660428,Call,No
115459538588191547,Call,No
115459449416715730,Call,"""No"""
115459446440286252,Attack on reputation,No
115459433541589439,Attack on reputation,No
115459203578150327,Attack on reputation,"""No"""
115458823430143771,No,"""No"""
115458636243379847,No,"""No"""
115458619294621505,Call,"""No"""
115458478288023570,Justification,"""No"""
115458501745548033,Call,"""No"""
115458493961045086,No,"""No"""
115458483828065961,No,No
115458471324307354,Call,"""No"""
115457748849999413,No,"""No"""
115457600588415376,Attack on reputation,"""No"""
115456708839350276,No,No
115452216206626792,Call,No
115451439348965135,No,"""No"""
115451446582285625,Call,"""No"""
115451450033479493,No,No
115451465173248970,Call,No
115455691749593540,Distraction,No
115447911581618198,Call,"""No"""
115450395356071917,No,"""No"""
115452148487180766,Call,No
115455332224820388,Distraction,"""No"""
115414670134103540,Call,No
115445084269284249,Distraction,"""No"""
115445047857168881,"""Attack on reputation""","""No"""
115444936741535260,Distraction,"""No"""
115444924244999128,No,"""No"""
115444920810335631,Call,"""No"""
115444908825959315,Call,"""No"""
115444894900287475,Call,"""No"""
115444830915442121,Distraction,"""No"""
115444163384468198,Justification,No
115443565409065734,Call,No
115442848945833358,No,No
115442322929776750,No,"""No"""
115442316583935494,Distraction,"""No"""
115441871289276790,Attack on reputation,"""No"""
115437112529618205,Call,No
115436697060819133,Attack on reputation,No
115436558661444946,Distraction,No
115436151669143136,Call,No
115435567269756205,Call,No
115435565975811522,Call,"""No"""
115435565492870939,Call,"""No"""
115435125397678740,Call,No
115434906751111005,Call,No
115434876884564053,Call,No
115434875694997684,Call,No
115434874266267478,Call,No
115434873038322093,Call,"""No"""
115434871867209348,Call,No
115434870750784024,Call,No
115434869707731740,Call,No
115434868395866889,Call,No
115434867478490056,Call,"""No"""
115434866506983325,Call,No
115434864876564194,Call,No
115434864384907731,Call,No
115434862488071211,Call,No
115434861975122052,Call,No
115433013824981623,Call,"""No"""
115433013192840304,Call,"""No"""
115433011980643529,Call,"""No"""
115433011374281959,Call,"""No"""
115433010735171759,Call,"""No"""
115433010108866479,Call,No
115433009519508016,Call,No
115433008735462318,Call,"""No"""
115433008069468996,Call,"""No"""
115433007140347848,Call,No
115433006793180195,Call,"""No"""
115432378654253078,Attack on reputation,No
115432277352547206,Justification,"""No"""
115431695569678615,Call,"""No"""
115428915165145135,No,"""No"""
115428907096790566,Call,No
115428874684902595,Attack on reputation,No
115428798659352209,Call,"""No"""
115426967566430347,Attack on reputation,No
115426826573945929,Call,"""No"""
115426823727952497,Attack on reputation,No
115426103540693339,Call,"""No"""
115425827275887037,Attack on reputation,"""No"""
115424560133045127,Call,No
115421521228626427,Call,No
115420878291596525,Justification,No
115420822058223259,Distraction,No
115420686286814272,Distraction,No
