;qwen3:0.6b;mistral:latest;llama3.1:latest;qwen2.5:latest;gemma3:1b;gemma3:latest
154;False;True;True;True;True;True
155;False;True;True;False;False;True
156;False;True;True;True;False;True
157;True;True;True;True;True;True
158;False;False;False;False;False;False
159;False;True;True;True;True;True
160;False;True;True;True;False;False
161;False;True;True;True;False;True
162;False;False;True;True;False;True
163;False;True;True;True;False;True
164;False;True;True;False;False;True
165;False;False;False;False;False;False
166;False;True;True;False;False;True
167;False;True;False;True;False;True
168;False;True;True;True;True;True
169;False;True;True;True;False;False
170;False;True;True;True;False;False
171;True;True;True;True;True;True
172;False;True;True;False;True;False
173;False;True;True;True;True;True
174;False;True;True;True;True;True
175;False;True;True;True;False;False
176;False;False;False;False;False;False
177;True;True;True;True;True;True
178;False;True;True;False;False;True
179;False;True;True;False;False;True
180;False;True;True;True;False;True
181;False;True;True;True;False;False
182;False;True;True;False;False;True
183;False;True;False;True;False;True
184;False;True;True;True;False;True
185;False;True;True;False;False;True
186;False;False;True;False;False;True
187;False;False;False;False;False;True
188;False;False;False;False;False;True
189;False;True;True;False;False;False
190;True;True;True;True;True;True
191;False;True;False;False;False;True
192;False;False;False;False;False;False
193;False;False;False;False;False;False
194;False;True;True;True;False;True
195;False;True;True;True;False;True
196;False;True;True;True;True;True
197;False;True;True;True;False;True
198;False;True;True;True;True;True
199;True;True;True;True;False;True
200;False;True;True;True;True;True
201;False;True;False;True;False;False
202;False;True;False;True;True;False
203;False;True;True;True;True;True
204;False;True;True;True;False;True
205;False;True;True;True;False;True
206;False;True;True;False;False;True
207;False;True;True;True;True;True
208;False;True;True;True;False;True
209;False;False;True;False;False;False
